No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,PoissonRatio
8606,GI06-190630R,NGF'sAdditionalNewData(J),2000,v.002p.0001,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,MagneticMemoryDisk,,,,,GlassNameA50.Melt:inPtat1640Cfor5hr.Anneal:at790Cfor2hr.GlassforChem.Strengthen.,,64.5,0,10.11,0,0,0,10.18,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
10955,GP02-228224,USPatent,2003,A0092559,Glass,AlkaliSilicate,,,,,,,ColorFilter,Substrate,,,,S.Pucilowskietal.Ex.2,,59.93,0,0,0,0,0,10,24.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
12422,GP03-268798,JapanesePatentHoyaCorp.(J),2005,A314159,Glass,Alkaline-earthSilicate,AlkaliSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.9,,64,0,5,0,13,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238
15243,GP03-302880,USPatentHoyaCorp.(J),2011,A0159322,Glass,Alkaline-earthSilicate,AlkaliSilicate,,,,,,Substrate,MagneticMemoryDisk,ChemicalStrengthen,,,Ex.9,,65,0,5,0,12,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
4611,GJ02-091209,GlassPhysics&Chemistry,1980,v.006p.0310,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,62,0,22,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236
10571,XP06-225186,USPatent,2002,A0028740,Glass-Ceramics,Alumino-Silicate,Alkaline-earthSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,X.Zouetal.(JP)1sttreatment:805C4h2ndtreatment:1000C4hCrystal:Mg-Al-titanate,,52.58,0,11.78,25.09,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
2089,GB02-019755,HandbookofGlassData,1987,v.00Cp.0209,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,55.8,0,0,0,0,0,0,0,17.6,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277
18575,GP02-356861,USPatentCorningInc.(US),2014,A0227523,Glass,AlkaliSilicate,Alumino-Silicate,,Melting,,,,ChemicalStrengthen,,,,,ex.17,,66.33,3.54,12.73,1.79,0.04,0,0,14.12,0.01,0,0,0,0,0,0,1.33,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216
2020,GB02-025707,HandbookofGlassData,1987,v.00Cp.0449,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,81,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189
2787,GC07-051358,CorningInc.(US),1980,211,Glass,Zinc-Silicate,Boro-Silicate,AlkaliSilicate,SheetGlass,PowderFrit,,,Substrate,ElectroLuminescence,Magneto-OpticalMemory,,,Microsheet.HomogeneousThinSheet,,70.18,8.38,1.27,0,0,0,0,7.32,4.82,0,0,0,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22
9110,GJ02-310188,J.Non-CrystallineSolids,2012,v.358p.003418,Glass,AlkaliSilicate,,,,,,,,,,,,,,80,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22
11068,GJ02-240747,Silikattechnik(G),1981,v.032p.0197,Glass,AlkaliSilicate,,,,,,,,,,,,,,66.7,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255
863,GB02-006730,HandbookofGlassProperties,1986,v.001p.0327,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,63,0,22,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229
3839,GJ02-092147,AppliedOptics,1981,v.020p.2716,Glass,AlkaliSilicate,,,Fiber,,,,OpticalFiber,,,,,Cladglass.Pressuredesensit.fiber,,90,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188
9795,GP06-356998,USPatentCorningInc.(US),2014,A0249017,Glass,Alumino-Silicate,Alkaline-earthSilicate,,Melting,SheetGlass,,,Display,LiquidCrystalDisplay,,,,ex.16,,73.9,3.14,10.86,2.17,6.68,0.03,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221
8542,GP02-293643,USPatentHoyaCorp.(J),2009,A7601446,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.1,,70.11,0,3.18,0,15.03,1.27,0,4.18,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
12419,GP03-268795,JapanesePatentHoyaCorp.(J),2005,A314159,Glass,Alkaline-earthSilicate,AlkaliSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.6,,64,0,5,0,13,3,2,7.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237
8604,GI06-190628R,NGF'sAdditionalNewData(J),2000,v.002p.0001,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,MagneticMemoryDisk,,,,,GlassNameA47.Melt:inPtat1640Cfor5hr.Anneal:at650Cfor2hr.GlassforChem.Strengthen.,,65.23,0,9.9,0,0,0,9.95,10.06,0,0,0,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
822,GB02-006485,HandbookofGlassProperties,1986,v.001p.0326,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,59.6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277
8739,GI07-191732R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Zinc-Silicate,Alumino-Silicate,Boro-Silicate,,,,,ElectronicsElectrical,Substrate,,,Annealing:at630Cfor1hr.,GlassName:C092Melting:inPt-Rhcrucibleat1520Cfor6hr.,,55.48,9.87,7.69,0,0.01,0,0,4.82,4.81,0,0,0,0,0,0,14.81,0,0,0,0,0,0.04,0.07,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5271,GC01-167709,TosohQuartz(J),1998,NSG-QUARTZ-NP,Glass,Silica,,,Block,Tube,Rod,,ElectronicsElectrical,LaboratoryWare,,,,,,99.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17
4264,GJ02-082126,GlassPhysics&Chemistry,1979,v.005p.0278,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,65,0,16,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223
7113,GB02-164812,FundamentalsofInorganicGlasses,1994,v.001p.0171,Glass,AlkaliSilicate,Zinc-Silicate,,,,,,,,,,,,,66.67,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265
2805,GC01-051466,CorningInc.(US),1960,7940,Glass,Silica,,,SheetGlass,CVD,,,Machinary,Substrate,Space,,,FusedSilica.Clear,,99.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17
3228,GB02-071312,HandbookofGlassData,1983,v.00Ap.0313,Glass,AlkaliSilicate,,,,,,,,,,,,NotStirredMelting,,75.6,0,0,0,0,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219
5546,GJ02-176275,GlassPhysics&Chemistry,1998,v.024p.0525,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,D.S.Sanditov,,76.92,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236
866,GB02-006733,HandbookofGlassProperties,1986,v.001p.0327,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,61,0,20,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227
2029,GB02-025746,HandbookofGlassData,1987,v.00Cp.0453,Glass,AlkaliSilicate,Boro-Silicate,,,,,,,,,,,,,80,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206
3575,GB01-087293,GlassHandBook(J),1975,v.001p.0097,Glass,Silica,,,,,,,,,,,,Translucent,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
18571,GP02-356857,USPatentCorningInc.(US),2014,A0227523,Glass,AlkaliSilicate,Alumino-Silicate,,Melting,,,,ChemicalStrengthen,,,,,ex.1,,67.26,2.58,12.05,3.8,0.05,0,0,14.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216
12526,GP03-269776,USPatentHoyaCorp.(J),2005,A0244656,Glass,Alkaline-earthSilicate,AlkaliSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.4,,64,0,5,0,15,3,2,5.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238
3209,XC06-051176,SchottAG(DE),,Zerodur,Glass-Ceramics,Alumino-Silicate,Phosphate,AlkaliSilicate,Block,Slab,Rod,GlassCeramics,Machinary,Mirror,,,,ExcellentSizeStabilityForTelescope,,63.79,0,17.13,1.71,0,0,8.55,0.55,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0.01,0.17,0,0,0,0,0,0,0,1.98,0,0,1.06,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
7125,GB02-164830,FundamentalsofInorganicGlasses,1994,v.001p.0171,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,66.67,0,0,0,20,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
4623,GJ02-091232,GlassPhysics&Chemistry,1980,v.006p.0310,Glass,AlkaliSilicate,,,,,,,,,,,,,,67,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227
826,GB02-006497,HandbookofGlassProperties,1986,v.001p.0326,Glass,AlkaliSilicate,Lead-Silicate,,,,,,,,,,,,,66.6,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,27.82,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213
2419,GB02-025717,HandbookofGlassData,1987,v.00Cp.0450,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,65,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227
4272,GJ06-082134,GlassPhysics&Chemistry,1979,v.005p.0278,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,,,,,,,,67,0,20,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231
8670,GI06-191659R,NGF'sAdditionalNewData(J),2001,v.004p.0001,Glass,Alumino-Silicate,AlkaliSilicate,Zinc-Silicate,,,,,ElectronicsElectrical,Substrate,,,Annealing:at740Cfor1hr.,GlassNameC019Melting:inPtRhcrucibleat1610Cfor23hr.,,60.29,0,14.32,0,0,0,0,10.12,0,0,0,0,0,0,0,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
2023,GB02-025710,HandbookofGlassData,1987,v.00Cp.0450,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,75,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209
2780,GC04-051346,CorningInc.(US),,10,Glass,Lead-Silicate,AlkaliSilicate,,Tube,,,,Lamp,,,,,,,77.7,0,0.73,0,0,0,0,9.56,4.71,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21
9655,GP02-353681,USPatentAsahiGlass(J),2013,A0302617,Glass,AlkaliSilicate,Alumino-Silicate,Alkaline-earthSilicate,Melting,SheetGlass,,,ChemicalStrengthen,Display,,,,ex.16,,70.07,0,6,10.3,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
11203,GJ02-251263,GlassPhysics&Chemistry,2003,v.029p.0002,Glass,AlkaliSilicate,,,,,,,,,,,,,,60.74,0,0,0,0,0,0,39.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
696,GB02-004783,HandbookofGlassProperties,1986,v.001p.0311,Glass,AlkaliSilicate,,,,,,,,,,,,,,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218
5281,GP05-168270,JapanesePatentSchottGlas(Jena)(DE),1996,A067529,Glass,Boro-Silicate,,,,,,,,,,,,,,81.4,6.85,2.79,0,0.33,0.08,1.45,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
3210,GC04-051357,CorningInc.(US),,138,Glass,Lead-Silicate,AlkaliSilicate,,,,,,CathodeRayTube,,,,,CTVFunnel.X-RayAbaorbing,,68.81,0,1.5,3.8,4.09,0,0,7.41,6.5,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
2301,GJ02-041114,GlassPhysics&Chemistry,1981,v.007p.0131,Glass,AlkaliSilicate,,,,,,,,,,,,,,84,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18
12530,GP03-269780,USPatentHoyaCorp.(J),2005,A0244656,Glass,Alkaline-earthSilicate,AlkaliSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.8,,64,0,5,0,12.5,3,5,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237
