No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,FractureToughness(MPa.m1/2)
15085,GP02-301880,JapanesePatentAsahiGlass(J),2011,A123924,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.1,,61.9,0,13,3,0,0,10.7,6.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94
15803,GP05-307970,USPatentAsahiGlass(J),2012,A0141668,Glass,Boro-Silicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.4,,66.2,7.6,11.3,5.3,4.7,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
2371,GJ02-045519,PhysicsandChemistryofGlasses,1980,v.021p.0099,Glass,AlkaliSilicate,,,,,,,,,,,annealedat530C,,,85,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
14551,GJ02-298055,J.Non-CrystallineSolids,2010,v.356p.002417,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,66.7,0,0,0,8.3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74
4848,GJ02-140956,J.MaterialsScience,1991,v.026p.6501,Glass,AlkaliSilicate,,,,,,,,,,,,,,74.35,0,0,0,0,0,0,15.33,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
12457,GP02-268985,JapanesePatentCentralGlass(J),2005,A343729,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Display,PlasmaDisplay,Substrate,,,Ex.8,,65.48,0,0.57,22.97,0,0,0,5.6,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875
15802,GP05-307969,USPatentAsahiGlass(J),2012,A0141668,Glass,Boro-Silicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.3,,68.13,9.79,10.39,0,6.79,1,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
12432,GP02-268887,JapanesePatentCentralGlass(J),2005,A324992,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Display,Substrate,,,,Ex.1,,65.13,0,3.58,15.4,4.34,0,0,5.79,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87
18183,XP06-353892,USPatentCorningInc.(US),2014,A0057092,Glass-Ceramics,Alumino-Silicate,AlkaliSilicate,,Melting,GlassCeramics,Opaque,,ElectronicsElectrical,ChemicalStrengthen,,,780C2h+950C4h,ex.7,,69.03,1.8,12.52,2.86,0,0,7.71,0.3,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0.52,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.084
13378,XP02-284856,USPatent,2008,A7316740,Glass-Ceramics,AlkaliSilicate,,,,,,,Dental,DentalCrown,,,,IvoclarVivadentAG.Ex.10,,62.87,0,0.59,1.36,0,0,27.75,0,2.91,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
5867,GJ02-185124,J.Non-CrystallineSolids,1999,v.253p.0126,Glass,AlkaliSilicate,,,,,,,,,,,,,,76,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94
16369,GP05-311359,USPatentHoyaCorp.(J),2013,A0040169,Glass,Boro-Silicate,Alumino-Silicate,AlkaliSilicate,,,,,Substrate,MagneticMemoryDisk,,,,Ex.12,,52.4,23.8,9.5,0,0,0,0,4.8,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67
14981,XP06-301048,JapanesePatentOharaInc.(J),2011,A040144,Glass-Ceramics,Alumino-Silicate,Zinc-Silicate,Alkaline-earthSilicate,,,,,Substrate,MagneticMemoryDisk,,,670C3h+750C7h,Ex.3,,56.35,4.71,7.72,8.14,2.34,0,0,6.35,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0.15,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
14931,XP02-300898,JapanesePatent,2011,A016720,Glass-Ceramics,AlkaliSilicate,,,,,,,Dental,,,,500C10min+650C20min,Ex.4othercrystal:Li-phosphate,,62.84,0,2.72,0,0,0,27.83,0,2.47,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
13598,GP06-287458,USPatentKonicaMinolta(J),2008,A7396788,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.141,,68.43,4.77,5.61,0,0,0.48,13.4,2.98,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.23,0,0,0,0,1.46,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99
13432,XP02-285331,USPatent,2008,A0125303,Glass-Ceramics,AlkaliSilicate,,,,,,,Dental,,,,520C5min.,IvoclarVivadentAG.Ex.3,,61.44,0,2.26,1.43,0,0.75,25.09,0,2.57,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
6582,GJ05-153002,GlassScienceandTechnology,1994,v.067p.0016,Glass,Boro-Silicate,,,CompositewithMetal,,,,,,,,,,,58.52,11.05,1.58,3.23,4.53,0,0,17.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
15809,GP05-307976,USPatentAsahiGlass(J),2012,A0141668,Glass,Boro-Silicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.10,,65,12,8,6,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
5663,GI06-113968,AnnualMeetingCeram.Soc.Japan(J),1989,v.001p.0370,Glass,Alumino-Silicate,,,,,,,,,,,,SimulatedgrainboundaryphaseforSi3N4ceramics,,60.92,0,26.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25
2805,GC01-051466,CorningInc.(US),1960,7940,Glass,Silica,,,SheetGlass,CVD,,,Machinary,Substrate,Space,,,FusedSilica.Clear,,99.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748
11855,GP02-261089,JapanesePatentKonicaMinolta(J),2004,A277232,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.9,,63.29,4.37,8.3,0,0,0,18.53,1.96,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.45,0,0,0,0,1.45,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02
8727,GI05-191720R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Boro-Silicate,Alumino-Silicate,AlkaliSilicate,,,,,ElectronicsElectrical,Substrate,PlasmaDisplay,,Anneal:at660Cfor1hr.,GlassNameC080.Melt:inPtRhat1480Cfor4.5hr.Opalglass.,,51.98,10.96,10.8,0.12,15.88,0,0,5.08,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99
12647,GP02-272218,JapanesePatentCentralGlass(J),2006,A143523,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Display,PlasmaDisplay,Substrate,,Annealedat600-700C.,Ex.7,,69.49,0,0.36,15.43,0.22,0,0,5.02,7.83,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79
2740,GJ02-037041,J.AmericanCeramicSoc.,1978,v.061p.0027,Glass,AlkaliSilicate,Boro-Silicate,,,,,,,,,,,8Figures1Table,,60,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
3785,XP03-069361,JapanesePatentCorningInc.(US),1988,A112439,Glass-Ceramics,Alkaline-earthSilicate,OtherSilicate,Alumino-Silicate,GlassCeramics,,,,,,,,,ZrO2:nucleationagent,,53.98,0,1.96,37.14,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
6127,GI06-190641R,NGF'sAdditionalNewData(J),2000,v.002p.0003,Glass,Alumino-Silicate,,,,,,,Substrate,,,,,GlassNameA60Melting:inPt-Rhcrucibleat1700Cfor5hr.Annealing:at750Cfor2hr.,,70.83,4.23,15.36,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31
8261,XJ03-187073,J.AmericanCeramicSoc.,1999,v.082p.2523,Glass-Ceramics,Alkaline-earthSilicate,Fluoro-Silicate,,GlassCeramics,,,,,,,,,MiseriteGlassCeramics,,58.09,1.76,0.38,0,22.59,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.96,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
8753,GI03-191746R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Alkaline-earthSilicate,Alumino-Silicate,AlkaliSilicate,,,,,Fiber,,,,Annealing:at730Cfor1h.,GlassNameC110Melting:inPtcrucibleat1600Cfor7h.,,62.54,0,7.04,4.4,15.2,0,0,0.11,10.54,0,0,0,0,0,0,0,0.006255,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79
8696,GI06-191688R,NGF'sAdditionalNewData(J),2001,v.004p.0001,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,ElectronicsElectrical,Substrate,,,Annealing:at650Cfor1hr.,GlassNameC048.Melting:inPtcrucibleat1600Cfor7hr.,,65.08,0,15.19,0,0,0,7.35,7.81,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08
9112,XP06-206514,USPatentCorningInc.(US),2000,A6124223,Glass-Ceramics,Alumino-Silicate,Alkaline-earthSilicate,,,,,,CookingWareCulinary,TableWare,,,,,,50.34,0,9.79,26.14,0,1.81,3.71,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
8733,GI03-191726R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Alkaline-earthSilicate,Alumino-Silicate,Boro-Silicate,,,,,ElectronicsElectrical,Substrate,,,,GlassName:C086Melting:inPt-Rhcrucibleat1480Cfor4.5hr.Annealing:at680Cfor1hr.,,54.99,9.76,7.66,0,0,15.18,0,4.97,4.69,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.16,0,0,0,0,0,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71
11882,GP02-261364,JapanesePatentKonicaMinolta(J),2004,A352571,Glass,AlkaliSilicate,Alumino-Silicate,Boro-Silicate,,,,,Substrate,MagneticMemoryDisk,,,,Ex.10,,64.88,4.49,9.43,0,0,0,12.54,5.04,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.13,0,0,0,0,1.48,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22
5443,XP03-105826,USPatent,1990,A4892846,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,HotPressed,GlassCeramics,PowderFrit,,,,,,,Hotpress940C-60min,,55.48,0,7.75,9.19,22.61,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6313,GB06-139714,HandbookofGlassData,1993,v.00Ep.0561,Glass,Alumino-Silicate,,,,,,,,,,,,p571574,,65.8,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
12437,GP02-268892,JapanesePatentCentralGlass(J),2005,A324992,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Display,Substrate,,,,Ex.6,,60.63,0,6.02,20.64,0.22,0,0,6.37,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94
18689,GP03-357274,USPatentHoyaCorp.(J),2014,A0334276,Glass,Alkaline-earthSilicate,AlkaliSilicate,,Melting,Disk,,,MagneticMemoryDisk,ChemicalStrengthen,,,,ex.12,,65.5,0,5,16,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39
8717,GI03-191710R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Alkaline-earthSilicate,AlkaliSilicate,Alumino-Silicate,,,,,ElectronicsElectrical,Substrate,PlasmaDisplay,,Annealing:at650Cfor2hr.,GlassNameC070Melting:inPtPtRhcrucibleat1600Cfor4hr.,,64.17,0,5.02,4.57,10.49,0,0,5.8,4.98,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63
14930,XP02-300897,JapanesePatent,2011,A016720,Glass-Ceramics,AlkaliSilicate,,,,,,,Dental,,,,500C10min+600C20min,Ex.3othercrystal:Li-phosphate,,61.44,0,2.26,1.43,0,0.75,25.09,0,2.57,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
12003,GP02-262429,USPatentKonicaMinolta(J),2004,A0242398,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.3,,68.19,4.76,5.6,0,0,0,11.09,5.94,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,1.46,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
14134,GP02-294180,USPatent,2009,A0291820,Glass,AlkaliSilicate,,,,,,,Dental,ArtificialTooth,,,,IvoclarVivadentAG.Ex.5,,61.57,0,0.57,6.55,0,0,27.38,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
15479,GP02-305472,JapanesePatentKonicaMinolta(J),2011,A251854,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.2,,65.69,1.92,0,5.46,10.94,0,0,2.37,6.44,0,0,0,0,0,0,0,2.57,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
15294,XP02-303224,EuropeanPatentCorningInc.(US),2011,A2323955,Glass-Ceramics,AlkaliSilicate,Alkaline-earthSilicate,Fluoro-Silicate,,,,,Substrate,SubstrateforDisplay,,,,Ex.9,,60.83,0,1.26,0,12.24,0,0,8.28,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
9764,GP06-213896,USPatentAsahiGlass(J),2001,A6297182,Glass,Alumino-Silicate,Alkaline-earthSilicate,AlkaliSilicate,,,,,Substrate,SubstrateforDisplay,,,,,,57.03,4.5,9.48,5.95,9.03,0,0,5.27,5.24,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
3621,GJ02-087947,J.Non-CrystallineSolids,1984,v.064p.0249,Glass,AlkaliSilicate,Alkaline-earthSilicate,,PlateGlass,,,,,,,,,,,84.79,0,0,0,7.48,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
11573,GP06-256016,JapanesePatentKonicaMinolta(J),2004,A161597,Glass,Alumino-Silicate,AlkaliSilicate,Alkaline-earthSilicate,,,,,Substrate,MagneticRecordingHead,,,,Ex.1,,58.53,4.34,9.37,13.04,0,0,6.88,3.7,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.26,0,0,0,0,2.35,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96
11657,GP06-256716,USPatentKonicaMinolta(J),2004,A0063564,Glass,Alumino-Silicate,Alkaline-earthSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.2,,61.34,4.47,4.46,6.79,4.88,0,7.08,3.81,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.27,0,0,0,0,2.8,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83
